Country code,Zip code,T12,T09,T10
RO,010117,x,,
RO,010118,x,,
RO,010119,x,,
RO,010121,x,,
RO,010122,x,,
RO,010123,x,,
RO,010124,x,,
RO,010125,x,,
RO,010126,x,,
RO,010131,x,,
RO,010132,x,,
RO,010133,x,,
RO,010134,x,,
RO,010135,x,,
RO,010136,x,,
RO,010137,x,,
RO,010138,x,,
RO,010139,x,,
RO,010141,x,,
RO,010142,x,,
RO,010143,x,,
RO,010144,x,,
RO,010145,x,,
RO,010146,x,,
RO,010147,x,,
RO,010148,x,,
RO,010149,x,,
RO,010151,x,,
RO,010152,x,,
RO,010153,x,,
RO,010154,x,,
RO,010155,x,,
RO,010156,x,,
RO,010157,x,,
RO,010158,x,,
RO,010159,x,,
RO,010161,x,,
RO,010162,x,,
RO,010163,x,,
RO,010164,x,,
RO,010165,x,,
RO,010166,x,,
RO,010167,x,,
RO,010168,x,,
RO,010169,x,,
RO,010171,x,,
RO,010172,x,,
RO,010173,x,,
RO,010174,x,,
RO,010175,x,,
RO,010176,x,,
RO,010177,x,,
RO,010178,x,,
RO,010179,x,,
RO,010181,x,,
RO,010182,x,,
RO,010183,x,,
RO,010184,x,,
RO,010185,x,,
RO,010186,x,,
RO,010187,x,,
RO,010188,x,,
RO,010191,x,,
RO,010192,x,,
RO,010193,x,,
RO,010194,x,,
RO,010195,x,,
RO,010196,x,,
RO,010197,x,,
RO,010198,x,,
RO,010201,x,,
RO,010202,x,,
RO,010203,x,,
RO,010204,x,,
RO,010205,x,,
RO,010206,x,,
RO,010207,x,,
RO,010208,x,,
RO,010209,x,,
RO,010211,x,,
RO,010212,x,,
RO,010213,x,,
RO,010214,x,,
RO,010215,x,,
RO,010216,x,,
RO,010217,x,,
RO,010218,x,,
RO,010219,x,,
RO,010221,x,,
RO,010222,x,,
RO,010223,x,,
RO,010224,x,,
RO,010225,x,,
RO,010226,x,,
RO,010231,x,,
RO,010232,x,,
RO,010233,x,,
RO,010234,x,,
RO,010235,x,,
RO,010236,x,,
RO,010237,x,,
RO,010238,x,,
RO,010241,x,,
RO,010242,x,,
RO,010243,x,,
RO,010251,x,,
RO,010252,x,,
RO,010253,x,,
RO,010254,x,,
RO,010255,x,,
RO,010256,x,,
RO,010257,x,,
RO,010258,x,,
RO,010259,x,,
RO,010261,x,,
RO,010262,x,,
RO,010263,x,,
RO,010271,x,,
RO,010281,x,,
RO,010282,x,,
RO,010283,x,,
RO,010284,x,,
RO,010285,x,,
RO,010286,x,,
RO,010287,x,,
RO,010288,x,,
RO,010289,x,,
RO,010291,x,,
RO,010292,x,,
RO,010293,x,,
RO,010294,x,,
RO,010295,x,,
RO,010296,x,,
RO,010297,x,,
RO,010298,x,,
